"company_name","sectors","website","description","company_id"
"T. Harris Environmental Management Inc. ","Air Pollution Prevention","www.tharris.ca "," Industrial hygiene, engineering, scientific, and technical professionals providing a wide range of environmental/occupational health and safety consulting services to industrial, real estate, banking, commercial, institutional, and government clients. ",160
"Tadger Group International","Air Pollution Prevention","www.tadgergroup.com "," Emission Reduction unit for Diesel and Gas combustion engines. Effective at reducing soot and lowering CO, NOx, and CO2 levels. Return on investment included in installation.",161
"Tafler Rylett Architects","Energy Efficiency","www.taflerrylett.com","Undertake environmentally responsible projects that are integrated with the surrounding landscape, and designed using a collaborative process input from the client and the surrounding community. Firm's expertise includes institutional, residential and religious work.  ",162
"Tanktek Environmental Services Ltd. ","Contracting","www.tanktek.com "," Precision Leak Testing of Underground Storage Tanks and Product Lines, Tank Removals, Soil and Groundwater Remediation Including In-Situ (Mobile C of A), Phase I, PII, PIII Environmental Site Assessments, Designated Substance Surveys. ",163
"Taylor Label","Consulting","www.taylorlabel.com ","A manufacturer of 'green' label products including FSC-certified and recyclable labels. The companies production facilities are powered by 100% renewable energy. Products are packaged in recycled corrugate and shipped carbon-free.",164
"TBT Engineering Limited","Contracting","www.tbte.ca "," Geotechnical Investigations, Civil, Environmental Engineering, Construction Admininstration, Highway Design, Project Management, Engineering Surveys, Material Testing Laboratory, Aggregate Investigations and Permitting, Field Testing and Inspection, Drilling Services",165
"Lambton Scientific","Consulting","www.lambtonscientific.com "," Founded in Sarnia, ON in 1984, Technical Chemical Services (TCS) Inc. is a chemical manufacturer and distributor of defoamers, utility and wastewater treatments and other speciality chemicals.",166
"TechnoScientific Inc. ","Contracting","www.technoscientific.com "," IR temperature measurements of liquid, air, tanks UT flowmetry (Water, Sewers, sludge) UT inspection of concrete structure (water tanks) and UT inspection of water treatment plants",167
"Tekran Instruments Corporation ","Equipment","www.tekran.com "," Manufacturer of mercury monitoring equipment for air, water and point emission sources.",168
"Terra-Con Environmental and Risk Management Consulting Inc. ","Air Pollution Prevention",""," A full service multi-disciplinary consulting firm. Twenty plus years experience. Health, safety and environmental work. Management is our specialty. Call or email us for more information.",169
"Terrachoice Environmental Services ","Consulting","www.terrachoice.com "," Environmental Marketing and Recognition Programs and Consulting",170
"Terrafix Environmental Technology Inc. ","Contracting","www.terrafixgeo.com ","Supply and installation of a wide variety of Geomembrane lining systems including spray applied membranes for all types of applications.",171
"Terrafix Geoxynthetics Inc.","Energy Efficinecy","www.terrafixgeo.com ","Geosynthetic solutions. Geosynthetic/Geotechnical Systems - Landfill/Pond Liners, Retaining Walls and Reinforced Slope Systems, Geotextiles, Erosion Control Mats",172
"Terrapex Environmental Ltd. ","Consulting","www.terrapex.com "," Provides environmental engineering consulting services. The Terrapex team of professionals includes engineers, geologists, hydrogeologists, biologists, and technologists. ",173
"Terraprobe Limited","Consulting","www.terraprobe.ca","Consulting Geotechnical and Environmental Engineering Construction Materials Engineering, Inspection and Testing",174
"Terratechnik Environmental Ltd. ","Equipment","www.terratechnik.ca ","A full service environmental remediation contractor specializing in: Excavation and disposal of hazardous and non-hazardous materials, soil screening and treatment, plant decommissioning.",175
"Testmark Laboratories Ltd. ","Analytical Services","www.testmark.ca ","Offers a full range of services in the field of analytical testing. Testmark's facilities are ISO/IEC 17025 certified, accredited by the SCC and CAEAL, and licensed by the Ontario Ministry of the Environment and Climate Change to perform Drinking Water testing. ",176
"The AMD Consultancy","Consulting",""," National and international consulting in environmental management, standardization and public-private partnerships.",177
"The Armstrong Monitoring Corporation","Water","www.armstrongmonitoring.com "," A Canadian ISO-9001 manufacturer of liquid, petroleum, vapour and gas monitoring and detection equipment, and systems. Air Quality Monitoring Service (industrial and commercial)",178
"The Atlas Corporation (Dewatering Division) ","Contracting","www.atlasdewatering.com "," Groundwater Control, Pump Rentals, Bypass Pumping, Drilling Services, Environmental Services, Pump and Treat Systems, Emergency Services, Dual - Phase Extraction Systems, Aquifer Pump Tests.",179
"The Brady Group Inc.","Analytical Services","www.bradygroup.ca "," Our solutions reduce the landfill stream by lowering consumption of electronic or mechanical goods. We also provide engineering services aimed at increasing efficiency, and lengthening the useful life of high tech products.  ",180
"The Cannington Group","Contracting","www.thecanningtongroup.com "," Full service contractor specializing in providing cost effective solutions for your environmental, demolition and waste management needs (e.g. on-site soil processing, water treatment, landfill reclamation and construction). ",181
"The Delphi Group","Air Pollution Prevention","www.delphi.ca "," Provides strategic consultancy to business leaders and policy makers in the areas of health and the environment, clean energy, climate change, environmental technologies and organizational sustainability. ",182
"Sentinel Solar","Energy Efficinecy","www.sentinelsolar.com"," Renewable energy systems integrator serving the Ontario consumer and commercial markets.",183
"The Mitchell Partnership Inc. ","Contracting","www.tmptoronto.com "," Mechanical Consulting Engineers",184
"The Timeless Material Company","Energy Efficiency","www.timelessmaterials.com ","All of our materials are salvaged from unwanted buildings, recycled through our retail operation (e.g. remilled T and G flooring, timbers and mantle pieces,  enviromental paint and paper line).",185
"The Ventin Group Ltd., Architects ","Energy Efficiency","www.ventingroup.com "," Typical projects include Academic Buildings, Administrative Offices, Courthouses, Cultural Centres, Multi-use Facilities, Heritage Structures and new buildings within a Heritage Context. ",186
"Think Plastics Inc.","Energy Efficiency","www.thinkplastics.ca and www.baleboard.ca "," Manufacturer of Baleboard (solid polyethylene lumber made from recycled agricultural bale wrap and greenhouse film) and Nusheet (made from recycled greenhouse film). Ideal for commercial, industrial, residential and marine applications. ",187
"TAF Engineering","Air Pollution Prevention","www.tafeng.ca"," Mechanical and electrical consulting engineers.",188
"Thomson Metals and Disposal","Waste Management","www.thomsonmetals.com"," Metal recovery and recycling, demolition, and general waste and recycling service",189
"Toronto Recycling Inc.","Waste Management","www.torontorecycling.com "," We Remarket and Recycle IT Assets(Computers/Laptops/Monitors/LCDs/TVs/etc) for ICIs clients. ",190
"Toronto Renewable Energy Co-operative ","Energy Efficiency","www.trec.on.ca ","Provides public education and outreach on the benefits of renewable energy and community-based green power solutions, develops projects and provides technical assistance for real, on-the-ground community-focused green power projects, and advocates for progressive renewable energy policy.",191
"Toxprobe Inc.","Consulting","www.toxprobe.com ","Provides consultation services in environmental and occupational health, toxicology, risk assessment, management and communication. ",192
"Trancels Construction Technologies ","Energy Efficiencyand Renewable Energy","www.trancels.com "," Innovative construction technologies and products, mainly with structural and environmental applications utilizing FRP composite reinforcement, synthetic toppings and aerated slabs. ",193
"Trans-cycle Industries Ltd.","Waste Management","www.transcycle.ca "," PCB Remediation recycling and destruction",194
"Transition Plus Sustainability Solutions Inc. ","Consulting","www.sustainabilitycoaching.ca ","Our coaching framework and suite of facilitated discovery, envisioning and opportunity mapping tools offer unparalleled clarity around how to realize commercial opportunities through sustainability.",195
"Tread Lightly","Energy Efficiency","www.treadlightly.ca"," We are a website based retailer of green-living, environmentally friendly products.",196
"Tri-Phase Group","Remediation","www.triphasegroup.com","An environmental remediation company offering a full line of on-site services (e.g. asbestos and mold abatement, demolition and decommissioning, soil clean up and remediation environmental services, PCB Management).",197
"Trojan Technologies Inc.","Equipment","www.trojanuv.com "," Designs, manufactures and sells UV systems for municipal wastewater and drinking water facilities, as well as for the industrial, commercial and residential markets. The company also provides UV treatment for the removal of toxic chemicals from water. ",198
"EXP Services Inc.","Air Pollution Prevention","www.exp.com"," Specializes in Buildings, Environment, GeoScience, Infrastructure, and Materials and Quality Management.",199
"Try Recycling","Waste Management","www.tryrecycling.com ","Recycles construction, demolition and solid wastes. ",200
"Tulloch Engineering and Surveying ","Contracting","tulloch.ca","Provides consulting engineering services;  has expertise in completion of Class Environmental Assessments, Environmental Audits and Environmental Inspections during construction of transportation and land development projects.",201
"Tulsar Canada Ltd.","Water","www.tulsar.com "," Environmental automation company. SCADA systems, PLC and electromechanical control panels, non-mercury level controls",202
"Turf Care Products Canada","Equipment","www.turfcare.ca"," Sales and service throughout Eastern Canada for commercial turf maintenance and irrigation systems",203
"U-Box-It","Environmental Management Systems","www.uboxit.com "," Offers a one time use container designed specifically for the Do-It-Yourself home renovation and clean up. The U-Box-It container was developed to eliminate the large bulky metal containers which take up space and to avoid damage to driveways and parking lots. ",204
"University of Toronto, Department of Physical and Environmental Sciences ","Air Pollution Prevention",""," Department of Physical and Environmental Sciences University of Toronto, Scarborough",205
"Upper Canada Organic Products","Energy Efficiency","www.ucorganic.ca"," Distributors of low and minimum risk solutions for emission control, fuel economy, pest control.",206
"Urban and Environmental Management Inc.","Environmental Management Systems","www.uemconsulting.com "," Engineering Consulting Firm",207
"Urban Tree Salvage","Waste Management","www.urbantreesalvage.com "," Salvaging logs from urban dumpsites, and turning into kiln dried lumber.",208
"URS Canada Inc. ","Air Pollution Prevention","www.urs.ca "," Specializes in environmental site assessments, clean-ups, property redevelopment, due diligence audits, site decommissioning, air monitoring, permitting, and environmental management systems. ",209
"US Filter/Wallace and Tiernan ","Equipment",""," Over 90 years of experience in the design and manufacture application and service of chemical feed equipment and various analytical instruments (primarily chlorie residual measurement) - e.g. gas chlorination/de-chlorination, ultraviolet disinfection, pumps.",210
"Valcoustics Canada Ltd.","Consulting","www.valcoustics.com"," A firm of consulting engineers, specializing in acoustics (assessment, measurement and control of noise and vibration) - environmental and architectural.",211
"Van Dyk Baler Corp.","Equipment",""," Van Dyk Baler Corporation is the exclusive representative of Bollegraaf Recycling Machinery and Lubo B.V. Screening and Recycling Systems in the North and Latin American Markets. ",212
"Vertex Environmental Inc.","Contract","vertexenvironmental.ca"," Environmental Contracting Work Permanganate Injections",213
"Vicinia Corporation","Analytical Services","vicinia.ca "," Environmental, health and safety services, HAZMAT management,  auditing and inspections, training development and instruction.  ",214
"Vida Stripinis and Associates Limited ","Contract",""," Engineering and Environmental consulting firm, specializing in wastewater and drinking water treatment, regulatory approval and compliance matters.",215
"Vigor Clean Tech Inc.","Energy Efficiency","www.vigorcleantech.com "," Generator of Renewable Energy utilizing Patented Hydro Kinetic and Small Wind 'Gorlov Helical Turbines'. Capture solar through ground and roof mounted solar pv tracker systems.",216
"Virtual Engineers Collective Inc.","Air Pollution Prevention","www.vecollective.com "," Offer effective strategic innovative solutions to challenging process changes and environmental issues.",217
"W. Ralston (Canada) Inc.","Waste Management","www.ralston.ca "," A leading Canadian manufacturer of garbage bags and polyethylene film products, including BIOSAK compostable plastic films and bags.",218
"W.D. Hooper and Sons Ltd.","Energy Efficiency","www.wdhopperwaterwells.com "," Provides water well drilling and environmental drilling for water source heat pump wells and re-injection wells, down hole video services, in-hole flow profiling, pumping tests, submersible pumps, water level meters, digital flow meters and related equipment.",219
"Walters Forensic Engineering Inc.","Contract","www.waltersforensic.com ","",220
"Wardrop Engineering Inc.","Air Pollution Prevention","www.wardrop.com "," A Canadian, full service environmental, engineering and information technology consulting firm with offices across Canada, the US and Africa.",221
"Wasser Resources Inc.","Consulting","wasserresources.com","Consults to the broad ennvironmental sector by providing business development, administrative and operational support to businesses involved in the environmental sector.",222
"Waste Care Services Ltd.","Waste Management","","",223
"Waste Management of Canada Corporation","Waste Management","www.wm.com ","Leads the development and implementation of technical programs and procedures necessary to ensure advanced protection of the environment, compliance with governmental regulations and implementation of state-of-the-art technology.",224
"Waste Services (CA) Inc.","Waste Management","www.wasteservicesinc.com"," Waste Services - Waste and Recycling Collection / Landfill Sites / Compactors Sales and Service / Material Recycling Facilities / Transfer Stations.",225
"Waste Solutions Canada","Energy Efficiency","www.wastecanada.com","Specializes in the reduction of costs associated with waste management. Our proven system can be applied to any business who has a waste or recycling expense. ",226
"Waste Solutions Group Inc.","","wastesolutions.ca"," Manufacturers / service providers of apartment compactors, TriSorter Recycling Systems, containers, odour control systems, garbage chute and compactor cleaning. The Apartment Specialists",227
"Water and Earth Science Associates Ltd.","Air Pollution Prevention","www.wesa.ca ","Works with industry and Government in the areas of Assessments, Engineering, Geosciences, Industrial Hygiene, Hydrogeology, Remediation and Training. ",228
"Water Bridge Environmental","Water","www.waterbridge.ca "," Industrial Wastewater Treatment Consultants and brokers of equipment and chemicals.",229
"Water Matrix","Energy Efficiency","www.watermatrix.com "," Water Conservation consultants Water COnservation product manufacturer Water Conservation service provider",230
"Waterloo Barrier Inc.","Remediation","www.waterloo-barrier.com ","A containment wall for the control of contaminated groundwater or soil gases. Formed of steel sheet piling with specially designed sealable joints, the Barrier offers a long service life, exceptionally low hydraulic conductivity, and documentable construction.",231
"Waterloo Biofilter Systems Inc.","Water","www.waterloo-biofilter.com ","On-site treatment of residential, commercial and communal sewage wastewaters, fully scalable from 2-bedroom house/ cottage to more than 200,000 L/day. A flexible, modular system with low maintenance and energy requirements, and a small footprint. ",232
"Watson Process Systems","Air Pollution Prevention","www.watsonprocess.com "," Gas Process Equipment and Air Pollution Control and Protection",233
"WCI Environmental Solutions Inc.","Contracting","www.wcienvironmental.ca "," Specializes in the design, development and operation of sustainable waste systems, focusing on the organic residue and waste wood components of the solid waste stream, developing and promoting composting and wood recycling technologies that generate value added end products. ",234
"WE Communications Inc.","Consulting","www.watertreatment.ca "," A national, full service business publishing, creative design and marketing communications firm. Publishers of Canadian Water Treatment and ReNew Canada magazines - both serving the environmental industries. ",235
"WEC Ltd.","Energy Efficiency","www.greentown.ca ","Provides comprehensive, independent renewable energy consulting and project development services, from small on-site systems to utility scale commercial projects, concept to completion",236
"Well Busters Canada Inc.","Contracting","www.wellbusters.com "," We are a network of Ministry of the Environment (MOE) licensed water well contractors, consultants, technicians and assistants that provide prompt and reliable well and water supply services including well upgrades, abandonment, rehabilitation, flow testing and certification. ",237
"WESA (Water and Earth Science Associates) Ltd. ","Air Pollution Prevention","www.wesa.ca "," WESA is a leading environmental sciences, health, safety and engineering consulting group providing professional services to business, industry, government and other professionals.",238
"Wessuc Inc.","Consulting","www.wessuc.com "," Wessuc provides a wide range of services to municipal, industrial, construction, and agricultural clients ranging from biosolids management, hydrovacing, and confined space entry tank cleaning, to technical assistance, Nutrient Management Planning, waste haulage, and mobile dewatering.",239
"WH Engineering","Air Pollution Prevention","www.wheng.ca "," Turn-Key projest services for air pollution prevention and control. ",240
"White, Duncan, Linton LLP","Services","www.kwlaw.net"," Full-service law firm that specializes in municipal, land use planning, expropriation and environmental law.",241
"Wiebe Industrial Sales","Equipment",""," Supplier of aboveground fuel storage tanks and systems, mobile refueling tanks, pumps, Hazardous containment buildings, Spill kits, and absorbents.",242
"Willms and Shier Environmental Lawyers","Services","www.willmsshier.com "," Full service environmental law firm. Defense of prosecution, appeals of orders and approvals; contaminated site issues; environmental assessment; toxic tort civil litigation;",243
"Wind Energy Solutions Canada","Energy Efficiency","windenergysolutions.ca "," Brings together WES Netherlands to deliver turnkey wind energy projects, service, and maintenance across the North American continent. Provides wind turbines up to 500 kilowatts for agricultural operations, medium-sized commercial business, and small utilities. ",244
"Wind Oak and Dove","Education","www.windoakdove.ca ","Leadership development for sustainability: seminars and coaching - Team coaching - Cross-disciplinary issues, research and conflict management - Environmental Education - Stakeholder relations and meetings",245
"Wind Simplicity","Energy Efficiency","www.windsimplicity.ca "," The high-efficiency, compact and noise-free Windancer (3kW, 7 kW and 23 kW) horizontal wind turbine is adaptable to urban, rural, commercial and industrial use. The Windancer is also lightweight, portable, vibration-free, safe, low maintenance/easily installed and durable. ",246
"Windsor Waste Audit and Assessment","Waste Management",""," CONDUCT WASTE AUDITS AND AASSESSMENTS OF RECYCLING PROGRAM PERFORMANCE.",247
"Wozco Computer Recycling","Waste Management",""," Wozco is an environmentally responsible recycler for computers, computer peripheral devices and precious metal bearing scrap.",248
"WrapOptions.com","Waste Management","www.WrapOptions.com"," WrapOptions is an environmentally-friendly alternative to traditional gift wrap made of a high quality natural hemp fabric that contrasts beautifully with the 100% silk satin ribbon trim. ",249
"Wright Environmental Management Inc.","Energy Efficiency","www.wrightenvironmental.com","Supplies continuous loading, in-vessel compost technology, with internal mixing and the addition of water. ",250
"WSI Waste Services","Waste Management","www.wasteservicesinc.com"," Landfill Site / Waste and Recycling Collection / Compactors Sales and Service / Material Recycling Facilities / Transfer Stations",251
"XCG Consultants Ltd.","Analytical Services","www.xcg.com ","Environmental engineering firm employing a multi-disciplinary team of environmental specialists and offering a full range of environmental services (e.g.site assessments and audits, remediation and decommissioning, hydrogeological investigations).",252
"Yuma Eng.","Air Pollution Prevention","","Provides range of environmental services - for example: water/wastewater treatment and distribution, hydraulics and modeling, stormwater management, erosion and sedimentation control, site remediation/delineation, pollution prevention plans. ",253
"Zero Waste Energy Systems Inc.","Energy Efficiecny","www.zwes.ca ","Provides sustainable, cost-effective solutions for biomass and hazardous waste reduction; is positioned to provide a variety of proven, innovative solutions for specific waste applications. ",254
"Zimmark Inc.","Environmental Management Systems","www.zimmark.com ","Provides On-Site Industrial Fluid Maintenance Programs designed to minimize fluid usage and liquid waste generation rates, through on-site recycling and waste treatement initiatives. ",255
"Zorbit Technologies Inc.","Waste Management","www.peatsorb.ca ","Offers solutions for spill control problems (e.g. Zorbit markets Peat Sorb™, a 100% natural oil absorbent manufactured from Canadian sphagnum peat moss). ",256
